herb_cn_name	herb_pinyin	herb_en_name	child_cn_name	child_en_name
半边莲	Banbianlian	Lobeliae Chinensis Herba	清热解毒药	Antipyretic Detoxicate Drugs
半夏	Banxia	Arum Ternatum Thunb.	化痰药	Phlegresolving Medicine
半枝莲	Banzhilian	Scutellariae Barbatae Herba	清热解毒药	Antipyretic Detoxicate Drugs
薄荷	Bohe	Menthae Herba	辛凉解表药	Pungent Cool Diaphoretics
北豆根	Beidougen	Menispermi Rhizoma	清热解毒药	Antipyretic Detoxicate Drugs
北刘寄奴	Beiliujinu	Siphonostegiae Herba	活血祛瘀药	Blood Activating Stasis Removing Drugs
北沙参	Beishashen	Glehniae Radix	补阴药	Yin-Tonifying Medicinal
北五味子	Beiwuweizi	Schisandrae Chinensis Fructus	收涩药	Astringent Medicinal
荜茇	Biba	Piperis Longi Fructus	温里药	Warming Interior Drugs
荜澄茄	Bichengqie	Litseae Fructus	温里药	Warming Interior Drugs
蓖麻子	Bimazie	Ricini Semen	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
萹蓄	Bianxu	Polygoni Avicularis Herba	利水渗湿药	Diuretic Dampness Excreting Drugs
扁豆花	Biandouhua	Dolichos Lablab L	化湿药	Dampness Removing Drugs
槟榔	Binglang	Arecae Semen	驱虫药	Antiparasitic Drugs
冰片	Bingpian	Borneolum Syntheticum	开窍药	Resuscitative Stimulant; Resuscitative Medicinal
布渣叶	Buzhaye	Microctis Folium	拔毒化腐生肌药	External Medicinal (Draw Out Toxin, Resolve Putridity)
蚕沙	Cansha	Bombyx Mori L.	祛风湿散寒药	Wind-Dampnessdispelling And Colddispersing Medicinal
苍耳子	Cangerzi	Xanthii Fructus	辛温解表药	Pungent-Warm Exterior-Releasing Medicinal
苍术	Cangzhu	Atractylodes Lancea (Thunb.)Dc.	化湿药	Dampness Removing Drugs
