target_ID	TAR_ID	drugbank_ID	target_name	kegg
460	TAR00460	2042	mRNA of Inhibitor of apoptosis protein	
461	TAR00461	2049	Gastrin/cholecystokinin type B receptor	
462	TAR00462	2058	P-selectin	
463	TAR00463	2077	Apopain	
464	TAR00464	2090	Toll-like receptor 2	
465	TAR00465	2112	Toll-like receptor 9	
466	TAR00466	2139	Tissue factor	
467	TAR00467	2149	Angiogenin	
468	TAR00468	2154	Neutrophil collagenase	
469	TAR00469	2155	Insulin-degrading Enzyme	
470	TAR00470	2157	NAD(P)H dehydrogenase [quinone] 1	
471	TAR00471	2162	Transient receptor potential cation channel subfamily M member 8	
472	TAR00472	2170	mRNA of RhoA	
473	TAR00473	2178	Metabotropic glutamate receptor 5	
474	TAR00474	2180	3-phosphoinositide dependent protein kinase-1	
475	TAR00475	2202	Steryl-sulfatase	
476	TAR00476	2203	Macrophage metalloelastase	
477	TAR00477	2207	Rhodopsin	
478	TAR00478	2216	mRNA of FGFR4	
479	TAR00479	2222	Equilibrative nucleoside transporter 1	
480	TAR00480	2226	Calgranulin D	
481	TAR00481	2232	Interleukin-5	
482	TAR00482	2240	Cell division protein kinase 2	
483	TAR00483	2244	Serum amyloid P-component	
484	TAR00484	2247	Scavenger decapping enzyme DcpS	
485	TAR00485	2251	Thymidine monophosphate kinase	
486	TAR00486	2314	Triosephosphate isomerase (bacterial)	
487	TAR00487	2353	Apolipoprotein(a)	
488	TAR00488	2355	Tyrosine-protein kinase BTK	
489	TAR00489	2358	Type IV phosphodiesterase	
490	TAR00490	2368	Cruzipain	
491	TAR00491	2404	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, gamma isoform	
492	TAR00492	2408	Tyrosine-protein kinase SYK	
493	TAR00493	2421	Signal peptidase I	
494	TAR00494	2433	Human cytomegalovirus protease	
495	TAR00495	2434	NH(3)-dependent NAD(+) synthetase	
496	TAR00496	2442	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	
497	TAR00497	2450	Tyrosine-protein kinase itk/tsk	
498	TAR00498	2467	Galectin-3	
499	TAR00499	2478	Beta-lactamase	
500	TAR00500	2489	Lethal factor	
501	TAR00501	2503	Phosphomannomutase/phosphoglucomutase	
502	TAR00502	2530	Protein kinase C, theta type	
503	TAR00503	2597	Glucosamine-6-phosphate synthase	
504	TAR00504	2644	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	
505	TAR00505	2646	Dihydroorotase	
506	TAR00506	2651	Glycosyltransferase MurG	
507	TAR00507	2672	Lanosterol synthase	
508	TAR00508	2731	Glycylpeptide N-tetradecanoyltransferase	
509	TAR00509	2735	Cathepsin F	
510	TAR00510	2755	Hypoxanthine-guanine-xanthine phosphoribosyltransferase	
511	TAR00511	2762	UDP-glucose 4-epimerase	
512	TAR00512	2782	Complement C1s component	
513	TAR00513	2795	Methionine aminopeptidase 2	
514	TAR00514	2889	Kallikrein 6	
515	TAR00515	2907	Oxysterols receptor LXR-beta	
516	TAR00516	2981	Phospholipase A2, membrane associated	
517	TAR00517	2993	Cathepsin S	
518	TAR00518	3007	Carbonic anhydrase XII	
519	TAR00519	3011	Suppressor of tumorigenicity 14	
520	TAR00520	3056	Orotidine 5'-monophosphate decarboxylase	
521	TAR00521	3060	Leukotriene A-4 hydrolase	
522	TAR00522	3070	Adenosylhomocysteinase	
523	TAR00523	3075	Bis(5'-adenosyl)-triphosphatase	
524	TAR00524	3086	Plasmepsin 2	
525	TAR00525	3105	M-phase inducer phosphatase 2	
526	TAR00526	3115	Ras-related protein Rab-9A	
528	TAR00528	3126	Poly [ADP-ribose] polymerase-1	
530	TAR00530	3233	Bile acid receptor	
