disease_ID	DIS_ID	disease_name	ICD9	ICD10
56	DIS00056	Anaplastic Large Cell Lymphomas	202.8	C81-C96
57	DIS00057	Androgen-dependent diseases		
58	DIS00058	Anemia	280-285	D50-D64
59	DIS00059	Anemia, unspecified	280-285	D50-D64
60	DIS00060	Anesthesia	338	R52
61	DIS00061	Anesthetic	338	R52
62	DIS00062	Angina	413	I20
63	DIS00063	Angina pectoris	413	I20
64	DIS00064	Angioedema	277.6	D84.1
65	DIS00065	Angiogenesis		
66	DIS00066	Angiogenesis in metastatic and atherosclerotic processes		
67	DIS00067	Anorexia nervosa	307.1	F50.0-F50.1
68	DIS00068	Anthrax infection	001-139, 022	A00-B99, A22
69	DIS00069	Anticoagulant	995.0	T78.2
70	DIS00070	Antigen-induced decrease in coronary flow and cardiac anaphylaxis	995.0	T78.2
71	DIS00071	Antiphospholipid syndrome	289.81	D68.8
72	DIS00072	Anxiety disorder, unspecified	300	F40-F42
73	DIS00073	Anxiety Disorders	300	F40-F42
74	DIS00074	Arterial embolism and thrombosis	437.6, 444.9, 453, 671.5, 671.9	I74, I80-I82, I82, O88, T79.0-T79.1
75	DIS00075	Arthritis	710-719	M00-M25
76	DIS00076	Arthritis, Rheumatoid	696.0, 710-719, 714	L40.5, M00-M25, M05-M06, M07
77	DIS00077	Asthma	493	J45
78	DIS00078	Asthmatic bronchial mucosal inflammation		
79	DIS00079	Atherosclerosis	414.0, 440	I70
80	DIS00080	Atherosclerotic cardiovascular disease	390-459	I00-I99
81	DIS00081	Atopic asthma	493	J45
82	DIS00082	Atopic Dermatitis	691.8	L20
83	DIS00083	Atrial fibrillation and flutter	427.31, 487, 488	I48, J10, J11
84	DIS00084	Attention-deficit hyperactivity disorder	314.0	F90
85	DIS00085	Attenuated coronary flow reserve and myocardial dysfunction	410	I21, I22
86	DIS00086	Autoimmune and sudden sensorineural hearing loss	389	H90-H91
87	DIS00087	Autoimmune cardiomyopathy		
88	DIS00088	Autoimmune Diseases	279.4	D84.9, M35.9
89	DIS00089	B cell acute lymphoblastic leukemia (B-ALL)	204.0, 208.9	C91-C95, C91.0
90	DIS00090	B cell immunodeficiency	279.3	D84.9
91	DIS00091	B12 deficiency	266.2	E53.8
92	DIS00092	Bacillus subtilis infections	001-139	A00-B99
93	DIS00093	Bacterial Infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
94	DIS00094	Basal cell carcinoma	173	C44
95	DIS00095	B-cell lymphoma	202.8	C85.1
96	DIS00096	B-cell malignancies	202.8	C85.1
97	DIS00097	Behcet's disease	136.1	M35.2
98	DIS00098	Benign prostate hyperplasia	600	N40
99	DIS00099	Benign prostatic hyperplasia	600	N40
100	DIS00100	Bipolar Affective Disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8	F31
101	DIS00101	Bipolar Disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8	F31
102	DIS00102	Biventricular heart failure	428	I50
103	DIS00103	Bladder cancer	188	C67
104	DIS00104	Blepharospasm	333.81	G24.5
105	DIS00105	B-lineage malignancies	140-239	C00-C96
106	DIS00106	Blood, Blood Forming Organ Disorders, Unspecified	280-289	D50-D89
107	DIS00107	Bone Diseases, Metabolic		
108	DIS00108	Bone disorders	710-739	M00-M99
109	DIS00109	Bone marrow transplant	279.5, 996	D89.8, T86
110	DIS00110	Bone Metastases	198.5	C79.51
111	DIS00111	Brain Cancer	191	C71
112	DIS00112	Brain inflammation		
113	DIS00113	Brain injury		
114	DIS00114	Brain ischemia	435, 437	G45.9, I67.8
115	DIS00115	Brain ischemic insult	435, 437	G45.9, I67.8
116	DIS00116	Brain tumors	191, 225.0	C71, D33
117	DIS00117	Breast cancer	174, 175	C50
118	DIS00118	Breast cancer (hormone-sensitive)	140-229, 174, 175	C00-C96, C50
119	DIS00119	Breast Cancer, Cancers		
120	DIS00120	Breast cancer, prostate cancer	140-229, 174, 175, 185	C00-C96, C50, C61
121	DIS00121	Breast Neoplasms	140-229, 140-239, 174, 175, 610-611	C00-C96, C00-C96, C00-D48, C50, N60-N64
122	DIS00122	Bronchial asthma	493	J45
123	DIS00123	Bronchiolar carcinoma	162	C34
124	DIS00124	Bronchoconstriction (cold air-induced)	493	J45
125	DIS00125	Bronchospasm (histamine induced)	728.85	R25.2
126	DIS00126	Burns and Burn Infections	001-139	A00-B99
127	DIS00127	Cachexia	799.4	R64
128	DIS00128	Cancer		
129	DIS00129	Cancer (multidrug resistant)	140-229	C00-C96
130	DIS00130	Cancer, unspecific	140-229	C00-C96
131	DIS00131	Cancer, unspecified	140-229	C00-C96
132	DIS00132	Cancer-associated morbidity	140-229	C00-C96
133	DIS00133	Cancers	140-229	C00-C96
134	DIS00134	Carcinoma in situ, unspecified	230-234	D00-D09
135	DIS00135	Carcinoma, Non-Small-Cell Lung	162	C33, C34
136	DIS00136	Cardiac allograft vasculopathy	996.8	T86
137	DIS00137	Cardiac arrhythmias	427	I47-I49
138	DIS00138	Cardiac diseases	390-459	I00-I99
139	DIS00139	Cardiac dysrhythmias	427	I47-I49
140	DIS00140	Cardiac hypertrophy	429.3	I51.7
141	DIS00141	Cardiac Surgery		
142	DIS00142	Cardiomyopathies	413, 428	I20, I50
143	DIS00143	Cardiovascular disease	390-459	I00-I99
144	DIS00144	Cardiovascular disease, unspecified	390-459	I00-I99
145	DIS00145	Cardiovascular Disorders	390-459	I00-I99
